masterid,inj,fat,total_entrances,degree,total_racks,stwidth,max_stwidth,aadt2,total_stations,avg_facilfar,factryarea,garagearea,avg_numfloors,total_area,avg_builtfar,avg_assessland,avg_bldgdepth,lotarea,avg_lotdepth,min_numfloors,avg_lotfront,resarea,max_numfloors,comarea,strgearea,unitsres,officearea,avg_residfar,retailarea,bldgarea,avg_assesstot,avg_commfar,avg_bldgfront,unitstotal,x,y
6576,23,0,2,4,15,115.227082000561,62.6571321144569,36184,"",9.10714285714286,0,17000,9.84821428571429,884.092908828123,7.40142857142857,1988067.92857143,82.25,309749,105.855357142857,0,89.4517857142857,1008142,27,1831889,366784,783,711604,2.57571428571429,323786,2840031,12729198.4285714,8.57142857142857,69.3182142857143,996,-73.9942625864533,40.7460039815397
6596,23,0,5,4,3,101.134210152906,57.6078009469984,18601,1,6.5,0,0,5.60869565217391,199.995897107255,4.00739130434783,156443.47826087,93.3913043478261,261067,110.862173913043,0,104.416086956522,1060176,12,41604,0,959,18800,4.56173913043478,17804,1101780,1291265.2173913,0,100,988,-73.9395235568135,40.8478383977932
6602,36,0,"",4,2,142.067432582625,73.5450818302278,40876,"",3.31076923076923,0,18115,2.30384615384615,715.757466899355,1.24015384615385,37941.1384615385,59.9230769230769,196527,97.8461538461538,1,30.614,134512,5,85857,0,130,19414,1.55692307692308,42628,220369,115649.446153846,0.584615384615385,23.2173846153846,179,-73.9623794788076,40.6099863739684
6604,49,1,"",3,"",68.3766601858485,68.3766601858485,14117,"",3.0952380952381,0,0,2.375,1685.0058011804,1.61404761904762,50189.9047619048,60.8709523809524,190895,120.156666666667,0,40.4645238095238,356076,6,114373,0,351,1140,2.75595238095238,11320,470449,237382.071428571,0,31.2261904761905,366,-73.974401969166,40.6449186791143
6606,14,0,"",4,"",116.564949232158,80.1351965874279,37818,"",1,0,0,2.23305084745763,1750.18400579136,0.716440677966102,28770.2711864407,41.6554237288136,226477,102.912542372881,1,37.8103389830508,146051,3,12436,0,147,2636,0.5,6700,158487,66938.0508474576,0,26.0294915254237,157,-73.7492116713751,40.727200798451
6608,13,0,"",4,"",98.0970872584107,50.025164466608,18998,"",4.8,0,10320,2.73469387755102,1360.35640789291,1.4065306122449,50730.1428571429,46.5644897959184,270814,104.754285714286,0,50.1589795918367,585424,9,118178,16800,558,0,2.69795918367347,8846,703602,534149.918367347,0,47.5102040816327,570,-73.9479139297719,40.662533639626
6620,15,0,"",4,1,71.8394903761919,46.6732424038144,11860,"",4.60327868852459,0,0,2.04098360655738,1046.59749624713,1.25950819672131,59720.3442622951,51.3708196721311,291036,110.557213114754,0,35.1531147540984,146309,7,78438,0,167,38311,3.20459016393443,40067,224747,138453.770491803,0,20.25,214,-73.9837112714218,40.5767433261587
6622,13,0,"",4,"",95.8270624477447,52.9487908891809,6747,"",3.86086956521739,102700,34416,0.91304347826087,1392.87462546312,0.583913043478261,236073.913043478,43.1052173913044,624467,126.743913043478,0,107.369565217391,866531,6,140116,0,1176,3000,1.47913043478261,0,1006647,859094.434782609,0.391304347826087,41.514347826087,1183,-73.9276140391608,40.6764443786969
6623,13,0,"",4,"",98.4948605345432,51.6995723234901,19151,"",2.29166666666667,9600,0,2.69791666666667,1089.41714218095,1.57385416666667,16911.8125,40.7661458333333,212740,93.4510416666667,0,23.9727083333333,319491,4,15626,0,321,0,2.29166666666667,6026,335117,54332.1979166667,0,20.28,328,-73.9511745817586,40.6883992006258
6678,16,0,3,4,12,216.927158985609,81.1011471025655,24097,1,6.22916666666667,0,0,4.83333333333333,564.231029899107,3.90333333333333,360548.25,53.7135416666667,286597,80.7791666666667,0,43.086875,364176,12,248319,63516,499,3363,4.96291666666667,70735,612495,1023109.52083333,3.875,29.86625,589,-73.9902201263897,40.714404940109
6696,21,0,1,4,"",107.704924744444,58.8976097278642,22133,1,4.275,0,385050,2.08333333333333,492.234635245972,1.29458333333333,120192.5,48.8333333333333,188215,94.61625,0,63.0675,28074,4,552082,0,31,111485,2.59625,27893,580156,1463552.58333333,0,38,63,-73.8168603046247,40.7024443306285
6697,14,0,1,4,"",104.963839350982,74.1681971850688,27844,"",2,0,0,2.18421052631579,854.803788251984,1.28473684210526,58159.8421052632,51.8684210526316,251686,94.8235087719298,0,44.0249122807018,145866,4,116587,0,134,36957,1.25,67473,262453,173354.298245614,0,31.95,198,-73.8513800990585,40.833367549488
6698,29,0,"",4,"",142.087566962518,79.0213373879161,16919,"",6.5,0,2550,3.95833333333333,2844.92467350453,2.15916666666667,684450,84.3333333333333,872245,211.000833333333,1,190.369166666667,135999,6,160238,0,158,0,4.73,6690,296237,1576537.5,0,78.75,173,-73.945822956689,40.8327644546483
6699,19,1,"",4,"",110.762138644561,57.6426847420411,21205,"",4.8,8176,0,4.796875,1093.51069583914,2.96625,56765.4166666667,58.2322916666667,239210,95.5127083333333,0,49.633125,490899,8,218147,15949,333,109036,2.66083333333333,19561,709046,643613.208333333,0.208333333333333,37.76875,354,-73.9571673013263,40.6997078676318
