"","O","D","Diff"
"873",78,20,-45
"874",78,21,-93
"875",78,69,-24
"876",78,201,-22.08
"877",78,206,-21
"878",78,215,-28.620003
"879",78,261,-24
"880",79,1,-20
"881",79,5,-25
"882",79,6,-24
"883",79,11,-33
"884",79,18,-24
"885",79,19,-73
"886",79,20,-37
"887",79,21,-75
"888",79,22,-85
"889",79,23,-80
"890",79,25,-28
"891",79,27,-24
"892",79,29,-25
"893",79,31,-34
"894",79,34,-30
"895",79,37,-51
"896",79,39,-38
"897",79,40,-50
"898",79,41,-49
"899",79,69,-35
"900",79,201,-33.129997
"901",79,203,-186
"902",79,206,-30
"903",79,209,-50
"904",79,210,-47
"905",79,211,-35
"906",79,215,-40.279999
"907",79,261,-33
"908",82,21,-27
"909",82,34,-32
"910",82,261,-126
"911",83,34,-40
"912",83,260,-20
"913",83,261,-181
"914",84,21,-25
"915",84,34,-32
"916",84,206,-21
"917",84,216,-41
"918",84,218,-87
"919",84,220,-115
"920",84,232,-24
"921",84,248,-21
"922",84,261,-71
"923",86,206,-21
"924",86,216,-26
"925",86,217,-37
"926",86,218,-98
"927",86,220,-160
"928",86,222,-107
"929",87,11,-20
"930",87,34,-21
"931",87,43,-52
"932",87,45,-21
"933",87,47,-29
"934",87,48,-37
"935",87,49,-39
"936",87,50,-26
"937",87,53,-25
"938",87,54,-27
"939",87,57,-34
"940",87,58,-36
"941",87,59,-35
"942",87,60,-33
"943",87,61,-46
"944",87,63,-21
"945",87,65,-37
"946",87,88,-637
"947",87,90,-134
"948",87,91,-91
"949",87,92,-94
"950",87,94,-39
"951",87,95,-44
"952",87,99,-23
"953",87,105,-27
"954",87,106,-42
"955",87,110,-31
"956",87,117,-21
"957",87,261,-56
"958",87,268,-31
"959",87,291,-63
"960",87,292,-31
"961",87,293,-20
"962",87,294,-30
"963",87,295,-38
"964",87,296,-28
"965",87,299,-23
"966",87,367,-21
"967",88,43,-86
"968",88,87,-637
"969",88,91,-232
"970",88,120,-39
"971",88,132,-21
"972",88,151,-24
"973",88,171,-21
"974",88,232,-20
"975",88,268,-177
"976",88,273,-39
"977",88,287,-22
"978",88,367,-46
"979",88,420,-25
"980",89,43,-20
"981",89,156,-26
"982",89,367,-21
"983",90,43,-36
"984",90,44,-34
"985",90,45,-59
"986",90,87,-134
"987",90,260,-22
