Z	DtaMerge_base	DtaMerge_1ft	DtaMerge_2ft	DtaMerge_3ft	DtaMerge_4ft	DtaMerge_5ft	DtaMerge_6ft
289	0.037738626	0.031717294	0.025625534	0.007548667	0.000000000	0.000000000	0.000000000
290	0.035083010	0.029451892	0.024211322	0.008807336	0.009164498	0.000000000	0.000000000
291	0.049455065	0.042556948	0.034140214	0.031475022	0.026642884	0.023375429	0.022268711
292	0.046327952	0.040547849	0.033570759	0.030705713	0.026493614	0.023986145	0.023034200
293	0.045001949	0.040878152	0.034327354	0.030556143	0.026365143	0.024459574	0.024011158
294	0.039516124	0.035383633	0.029921907	0.026810593	0.023099697	0.021579105	0.021959219
295	0.047098190	0.041796062	0.034508781	0.031328050	0.027712530	0.024905115	0.024627362
296	0.047938196	0.043297729	0.034380412	0.031461007	0.028085053	0.024989325	0.026128254
297	0.042695095	0.037995774	0.031927695	0.028838154	0.024832113	0.023357429	0.024318623
298	0.044389498	0.039751842	0.032765830	0.028966122	0.025452587	0.024202827	0.024769961
299	0.037705502	0.034070306	0.028930434	0.024837468	0.023625367	0.021225512	0.022843497
300	0.035583218	0.032374366	0.027073209	0.024044943	0.022424385	0.020842868	0.021245830
301	0.032732075	0.030568317	0.027037855	0.025758131	0.024588902	0.022957514	0.023068016
302	0.006704904	0.000033637	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000
303	0.022802709	0.011715048	0.011286931	0.010221499	0.006192275	0.000000000	0.000000000
304	0.019829888	0.012281790	0.011462855	0.010616584	0.009508373	0.009369555	0.010086753
305	0.017701818	0.012518683	0.011613848	0.010858902	0.009974224	0.009743662	0.010290124
306	0.027605253	0.013322943	0.013139219	0.011667612	0.007381631	0.000000000	0.000000000
307	0.023801571	0.013475009	0.012993313	0.011817677	0.009711970	0.009572732	0.010595890
308	0.020792052	0.013669632	0.012728634	0.011754478	0.010466116	0.010477694	0.011356298
309	0.019328628	0.013491945	0.012453164	0.011601574	0.010505796	0.010458747	0.011177883
