X,Y,masterid,start,end,time_diff,short_span,bc_ped_noi,bc_ped_nof,bc_ped_svA,bc_ped_svB,bc_ped_svC,bc_ped_svO,bc_ped_c_score,ac_ped_noi,ac_ped_nof,ac_ped_svA,ac_ped_svB,ac_ped_svC,ac_ped_svO,ac_ped_c_score,d_ped_noi,d_ped_nof,d_ped_svA,d_ped_svB,d_ped_svC,d_ped_svO,d_ped_c_score,sip_id,combo_treatment
-74.149022557233664,40.538714060042942,20118,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.148546956711243,40.539290573285598,37799,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.148134648641147,40.53978234721113,10166,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.147888668084207,40.540075357030133,8449,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.147103515789453,40.541014587042639,20256,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.145901711504649,40.542427497276186,30168,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,2,0,0,0,2,0,4,1,0,0,0,1,0,2,-1,0,0,0,-1,0,-2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.145148598102594,40.543077825576418,5226,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.144454123454963,40.543877742887716,23077,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,1,0,0,1,0,0,4,2,0,0,1,1,0,6,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.14358354111323,40.544734132251037,11654,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,1,0,0,0,7,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
-74.14271405948594,40.545430955029126,27689,2012-07-01 00:00:00,2012-09-30 00:00:00,91,822,1,0,0,0,1,0,2,2,0,0,0,2,0,4,1,0,0,0,1,0,2,{12-TD-01.0},"{""Signal Timing Change-Traffic Timing Changes--1""}"
