A	Name	DiffB4ft
53639	88	150.26
53639	90	54.12
53645	90	51.84
53647	86	-4.15
53647	CT2	-0.17
53654	85	21.47
53655	85	284.84
53658	85	176.86
53705	85	213.89
53712	91	-0.58
53712	CT2	-0.48
53729	87	-231.79
53729	88	372.04
53729	90	-51.17
53730	94	3.58
53730	96	-75.9400000000001
53731	80	6.2
53750	88	0.76
53756	88	0.05
53756	90	-0.12
53757	88	0.35
53757	90	-0.01
53762	88	1.08
53762	90	3.72
53799	87	-99.86
53799	88	1688.71
53799	90	163.45
53799	96	-52.1
53800	94	-93.61
53800	96	-182.18
53814	88	-14.22
53814	90	-61.02
53814	94	2.11
53814	96	-0.01
53825	87	4.07
53825	88	89.07
53825	90	-26.36
53830	88	57.07
53830	90	16.75
53848	94	-50.08
53871	80	14.9
53914	101	-27.2
53920	90	3.7
53931	101	0.63
53933	101	0.06
53934	101	-54.83
53934	89	0.56
53934	90	-1.39
53935	101	-80.13
53935	89	36.79
53935	90	49.72
53937	101	-53.88
53949	101	-41.59
53951	101	-2.81
53953	101	-5.57
53956	101	-28.57
53959	101	21.05
53970	101	61.97
53970	89	9.05
53973	101	32.37
53973	89	6.51
53985	101	-44.66
53985	89	-0.13
53985	90	-0.16
53986	101	24.82
53986	89	35.68
53986	90	24.11
53988	101	0.11
53989	101	-58.42
53989	89	35.82
53989	90	49.75
53997	101	50.83
54006	101	3
54006	89	1.81
54011	92	-14.25
54026	101	18.51
54026	89	2.15
54028	101	28.86
54028	89	-805.44
54030	101	48.14
54030	89	-2.12
54031	101	-7.87
54031	89	-321.9
54036	80	112.48
54038	89	1.69
54074	101	39.34
54079	89	-56.43
54097	96	-334.34
54118	101	74.28
54135	89	-0.01
54150	101	0.51
54171	80	1322.94
54171	89	-165.84
54182	95	1133.24
54189	88	48.88
54195	89	1226.04
54206	80	365.03
54206	89	41.72
54208	94	-59.55
54208	96	-97.1
54217	89	95.41
54221	89	9.26
54250	94	-0.1
54250	96	-0.17
54300	89	1149.54
54305	80	321.47
54305	89	778.49
54323	101	-0.03
54328	94	0.19
54346	80	427.34
54346	94	-84.4
54346	96	228.85
54347	94	0.32
54350	101	15.31
54353	101	-0.05
54354	101	7.77
54386	104	3.75
54386	105	160.48
54386	109	-567.21
54391	104	-2.45
54391	109	-2.07
54415	104	-8.55
54415	105	-3.66
54415	109	-8.55
54416	101	-0.2
54419	92	-0.06
54430	90	-0.05
54433	92	-0.5
54438	90	287.22
54442	101	4.79
54442	89	0.02
54476	95	1275.16
54501	95	817.44
54503	95	-66.9999999999999
54531	105	144.83
54531	106	976.94
54531	97	688.28
54531	99	712.98
54544	100	-41.6
54544	108	89.52
54544	134	156.1
54546	108	539.48
54572	100	-0.02
54572	108	54.01
54573	134	-9.69
54574	106	-84.15
54574	110	-942.07
54574	97	-41.27
54574	99	-59.52
54577	108	5.74
54583	100	-797.95
54598	100	-455.72
54598	134	29.4
54598	90	81.9
54599	134	-17.17
54600	90	131.9
54602	134	36.84
54606	95	2872.84
54642	83	197.99
54645	91	15.65
54678	85	4.58
54678	CT2	176.38
54681	86	4.11
54681	91	-0.51
54683	90	184.76
54683	91	-0.68
54683	CT2	-0.09
54685	CT2	-92.55
54688	86	-0.22
54688	CT2	-0.37
54689	88	-0.36
54689	90	0.66
54697	87	4.06
54701	86	-2969.14
54709	86	11.32
54718	87	-55.8
54718	91	-30.69
54718	CT2	-93.33
54719	85	-73
54719	87	777.21
54719	91	554.76
54719	CT2	359.66
54720	86	-180.21
54723	91	0.13
54732	86	-37.11
54733	91	-0.67
54733	CT2	-6.4
54748	85	183.61
54777	101	-2.68
54777	95	-0.17
54792	101	0.35
54821	101	4.42
54852	101	204.85
54852	95	1594.23
54852	96	1091.47
54871	108	212.93
54887	108	57.9
54894	108	38.9
54933	108	1131.02
54948	134	1.32
54951	134	6.38
54971	101	0.53
54971	96	2.29
54975	101	-0.739999999999999
54976	101	-61.12
54976	96	-59.39
54981	101	0.86
55038	94	-0.22
55038	95	-0.3
55047	94	-0.36
55047	95	-0.29
55051	94	-0.22
55051	95	-0.32
55067	94	-0.26
55067	95	-0.29
55072	134	-1.82
55075	94	-0.45
55075	95	-2.44
55079	134	-1.34
55080	94	-0.41
55080	95	-0.12
55088	95	-0.29
55089	101	-17.64
55096	100	53.76
55158	100	-14.41
55181	95	-120.75
55183	101	-48.81
55207	101	-0.65
55207	94	-0.2
55220	94	-0.42
55220	95	-6.69
55261	101	46.03
55261	108	84.6
55264	101	0.42
55287	101	125.54
55288	101	-2.65
55290	101	0.24
55292	101	0.18
55293	100	-19.88
55295	100	11.02
55321	100	5.73
55345	100	-32.7
55379	101	-9.15
55379	108	88.09
55381	99	265.86
55383	99	0.05
55442	99	79.73
55462	99	33.91
55550	99	0.06
55595	132	-14.1
55756	99	-48.91
55767	132	-83.97
55772	132	-106.42
55781	137	0.22
55873	100	-206.84
55874	132	130.11
55878	132	103.16
56018	132	70.14
56176	136	-0.390000000000001
56176	137	14.9
56194	136	2.06
56194	137	0.29
56196	137	-53.98
56266	131	1.75
56266	136	0.98
56266	137	2.25
56318	430	-1.85
56325	430	-40.51
56513	429	-62.97
56593	430	-0.02
56699	104	6.57
56699	105	216.85
56700	108	-461.58
56700	97	38.02
56701	101	-10.25
56701	104	611.81
56701	105	227.26
56701	106	646.32
56701	108	-70.25
56701	99	106.99
56705	99	-2.44
56709	101	-0.12
56709	136	-19.91
56709	137	-101.44
56709	411	-0.09
56709	430	-41.87
56710	132	-13.55
56760	108	-5.71
56760	109	-12.43
56893	93	6.39
56920	459	-7.32
56922	120	96.15
56991	450	-0.01
56991	455	-8.34
56991	459	-8.34
57008	120	279.16
57020	120	-0.54
57052	119	-6.11
57052	426	-0.53
57099	90	-171.38
57205	89	131.47
57205	90	412.56
57206	101	-272.18
57208	101	-44.77
57208	89	-8.13
57208	90	-2.4
57210	89	3486.33
57210	90	2159.96
57211	101	-8.83
57213	101	-231.7
57216	91	-3.54
57216	CT2	-2.66
57251	91	-1.15
57253	CT2	-0.39
57254	91	-1.12
57255	86	-21.87
57278	89	-9.14
57278	94	-8.63
57280	94	-15.98
57286	92	-4.51
57287	89	-0.21
57332	85	38.84
57332	CT2	83.57
57336	411	-18.3
57374	90	110.15
57374	91	-0.65
57377	80	101.3
57377	86	-282.2
57377	88	137.78
57377	90	-10.54
57377	91	-54.87
57378	86	-31.36
57378	91	-36.11
57378	CT2	-32.62
57385	411	-4.37
57449	119	-5.1
57449	411	-3.45
57449	426	-2.86
57532	94	335.88
57532	96	498.81
57553	131	0.39
57553	136	-0.02
57553	137	-0.24
57556	136	0.05
57557	137	-0.12
57559	136	0.02
57643	132	-49.32
57689	137	0.24
57708	100	-2.8
57722	99	0.03
57758	100	-198.43
57786	134	-32.31
57798	96	-0.79
57809	80	82.77
57809	94	-7.08
57809	96	-10.05
57814	80	93.57
57814	94	220.77
57814	96	645.34
57819	80	295.21
57819	89	17.43
57826	92	20.92
57829	92	20.14
57834	95	-90.37
57836	90	-0.58
57838	83	34.11
57838	87	-8.19
57853	96	331.33
57856	72	-2.24
57856	74	-9.01
57856	75	-127.41
57856	78	-18.86
57860	73	-0.11
58169	101	-38.6
58169	104	-30.89
58169	105	-13.25
58169	106	-9.11
58169	108	335.43
58169	136	-10.83
58169	137	-16.23
58169	411	-7.72
58169	430	-11.58
58169	99	-6.06
58173	136	0.02
58173	411	-0.2
58173	430	-0.32
58177	136	-0.6
58177	137	44.43
58177	430	-1.95
58183	101	-16.18
58183	104	-546.17
58183	105	-232.71
58183	106	-373.72
58183	97	245.21
58219	109	-0.6
58268	105	49.47
58268	106	367.53
58268	99	56.01
58279	105	0.88
58279	99	7.29
58336	93	743.64
58338	92	1103.98
58344	93	288.82
58352	101	-0.31
58352	92	-0.01
58358	93	1307.86
58364	92	1754.02
58365	91	-3.87
58365	CT2	-3.02
58366	86	-132.55
58380	93	104.54
58383	89	-75.32
58383	90	-29.51
58383	92	-307.8
58383	93	-296.36
58383	95	-33.57
58384	101	-66.51
58384	86	-321.56
58385	90	-9.82
58386	101	-89.9
58386	86	-8.25
58386	91	-25.6
58386	CT2	-13.83
58389	95	-56.57
58390	95	-43.54
58391	101	-97.34
58391	89	-80.57
58391	90	-22.8
58391	92	-3.69
58391	95	-783.99
58392	89	-94.42
58394	92	-3.86
58397	92	2.45
58398	89	-199.24
58398	92	-37.52
58404	104	277.84
58404	109	314.79
58432	104	-0.13
58440	101	-115.04
58453	108	-121.78
58510	97	12.86
58512	101	-4.34
58512	134	-13.61
58512	95	-25.78
58515	101	-1.57
58515	96	-144.06
58519	80	416.8
58519	87	-422.21
58532	80	-66.01
58532	90	142.53
58537	87	93.25
58539	88	-10.09
58541	80	-3.82
58543	88	364.37
58546	80	50.92
58546	88	65.4
58546	90	-11.44
58554	77	-2.09
58556	86	-287.7
58557	73	-78.78
58558	86	-459.51
58559	96	-20.06
58561	73	-14.16
58568	101	-51.39
58568	89	-47.51
58568	90	-0.93
58568	95	-3232.85
58588	101	-0.68
58588	134	-0.08
58588	94	-0.76
58588	96	-29.65
58590	134	-8.09
58613	97	-5.93
58667	104	-63.28
58667	105	-27.5
58667	109	-65.8
58706	92	1003.9
58717	92	2.6
58722	93	-23.12
58724	93	-945.53
58726	93	622.68
58771	429	-0.08
58771	430	-0.02
58800	110	-3.87
58916	32	119.71
58917	32	77.27
58917	33	50.29
58940	32	967.91
58940	33	356.98
58940	40	-0.05
59036	40	37.5
59036	50	296.36
59048	40	10.18
59048	50	14.88
59113	34	-752.09
59113	40	-0.86
59128	50	0.3
59131	40	-398.34
59131	50	-177.54
59141	40	22.28
59141	50	16.38
59142	34	-0.17
59143	40	-0.09
59145	14	2.06
59145	30	6.95
59178	30	-0.41
59178	34	-0.09
59178	37	-0.36
59178	40	-0.24
59179	36	-14
59180	36	-15.19
59180	37	9.01
59180	40	-0.38
59180	51	5.19
59230	52	69.95
59241	35	4.89
59307	35	98.55
59307	36	26.15
59364	36	18.97
59421	35	54.09
59508	35	0.08
59508	36	-0.01
59538	51	0.88
59580	51	17.16
59598	51	89.9
59639	36	15.6
59645	37	1
59701	36	1.4
59701	52	10.53
59712	52	41.82
59805	35	345.55
59805	36	74.94
59805	37	12.63
60352	59	173.26
60354	59	20.92
60364	59	256.88
60371	59	343.67
60683	59	138.6
60843	59	46.6
61017	59	233.22
61117	59	100.84
61160	52	37.03
61275	51	-169.69
61295	65	32.82
61296	65	32.38
61319	51	-15.76
61349	65	46.46
61372	66	22.78
61374	66	2111.91
61377	66	36.91
61389	66	364.4
61452	65	-124.49
61629	59	-183.15
61932	52	-374.25
61936	57	0.01
61978	57	1002.52
62007	501	-0.82
62012	64	46.21
62082	57	383.02
62085	501	-659.87
62089	64	504.87
62097	57	0.17
62117	86	3.11
62123	86	13.92
62126	86	24.38
62127	65	-13.3
62128	501	-10.21
62144	86	-186.68
62154	65	-150.96
62172	57	6.78
62188	57	275.19
62201	57	-0.04
62206	86	1.86
62207	64	-150.69
62207	86	-58.25
62211	57	8.37
62214	86	-131.43
62219	57	53.21
62237	57	5.56
62239	57	9.88
62243	64	343.86
62287	64	-232.02
62294	64	-369.23
62294	66	300.71
62301	57	647.77
62301	66	2100.87
62324	86	94.78
62325	66	-584.12
62325	70	-695.24
62327	70	-109.67
62327	86	-110.44
62387	66	19.36
62388	66	-15.97
62403	70	-4.09
62413	71	-244.98
62413	73	90.78
62416	73	-201.85
62420	71	138.73
62420	73	632.23
62424	73	1866.96
62429	71	-9.26
62429	73	40.67
62577	70	-294.37
62597	71	-814.12
62623	71	132.18
62651	70	50.34
62708	71	-1464.08
62775	502	-0.25
62775	504	-0.33
62775	52	-964.62
62775	553	-20.35
62775	554	-85.21
62792	553	13.38
62792	554	5.62
62830	59	19.05
63072	505	-3.75
63072	553	-1.21
63072	554	-1.32
