O,D,VAL
3619820100001021,3619820100001013,675
3619820100001021,3619820100001014,920
3619820100001021,3619820100001015,490
3619820100001021,3619820100001016,370
3619820100001021,3619820100001018,250
3619820100001021,3619820100001019,145
3619820100001021,3619820100001020,180
3619820100001021,3619820100001021,6235
3619820100001021,3619820100001022,120
3619820100001021,3619820100001023,105
3619820100001021,3619820100001025,675
3619820100001021,3619820100001026,110
3619820100001021,3619820100001027,135
3619820100001021,3619820100002011,300
3619820100001021,3619820100004009,105
3619820100001021,3619820100006009,110
3619820100001021,3619820100007001,245
3619820100001022,3619820100001001,645
3619820100001022,3619820100001002,585
3619820100001022,3619820100001006,420
3619820100001022,3619820100001007,105
3619820100001022,3619820100001008,390
3619820100001022,3619820100001009,130
3619820100001022,3619820100001010,1270
3619820100001022,3619820100001011,385
3619820100001022,3619820100001012,200
3619820100001022,3619820100001013,255
3619820100001022,3619820100001014,130
3619820100001022,3619820100001015,185
3619820100001022,3619820100001019,110
3619820100001022,3619820100001021,450
3619820100001022,3619820100001022,1050
3619820100001022,3619820100001024,140
3619820100001022,3619820100001025,150
3619820100001022,3619820100004004,110
3619820100001022,3619820100004007,105
3619820100001023,3619820100001001,1935
3619820100001023,3619820100001002,1640
3619820100001023,3619820100001003,610
3619820100001023,3619820100001005,310
3619820100001023,3619820100001006,950
3619820100001023,3619820100001007,575
3619820100001023,3619820100001008,1940
3619820100001023,3619820100001009,925
3619820100001023,3619820100001010,3535
3619820100001023,3619820100001011,950
3619820100001023,3619820100001012,555
3619820100001023,3619820100001013,585
3619820100001023,3619820100001014,555
3619820100001023,3619820100001015,355
3619820100001023,3619820100001016,445
3619820100001023,3619820100001017,225
3619820100001023,3619820100001018,615
3619820100001023,3619820100001019,700
3619820100001023,3619820100001020,1000
3619820100001023,3619820100001021,295
3619820100001023,3619820100001022,175
3619820100001023,3619820100001023,3110
3619820100001023,3619820100001024,370
3619820100001023,3619820100001025,285
3619820100001023,3619820100001026,160
3619820100001023,3619820100002007,130
3619820100001023,3619820100002010,120
3619820100001023,3619820100002011,495
3619820100001023,3619820100002014,135
3619820100001023,3619820100003001,400
3619820100001023,3619820100003006,105
3619820100001023,3619820100003031,125
3619820100001023,3619820100003050,105
3619820100001023,3619820100004001,320
3619820100001023,3619820100004002,205
3619820100001023,3619820100004004,370
3619820100001023,3619820100004006,200
3619820100001023,3619820100004007,210
3619820100001023,3619820100004009,105
3619820100001023,3619820100004013,145
3619820100001023,3619820100004019,105
3619820100001023,3619820100004024,120
3619820100001023,3619820100004025,110
3619820100001023,3619820100004034,125
3619820100001023,3619820100006009,155
3619820100001024,3619820100001001,1350
3619820100001024,3619820100001002,1010
3619820100001024,3619820100001003,455
3619820100001024,3619820100001004,135
3619820100001024,3619820100001005,290
3619820100001024,3619820100001006,1015
3619820100001024,3619820100001007,295
3619820100001024,3619820100001008,1280
3619820100001024,3619820100001009,860
3619820100001024,3619820100001010,2970
3619820100001024,3619820100001011,695
3619820100001024,3619820100001012,475
3619820100001024,3619820100001013,405
3619820100001024,3619820100001014,620
3619820100001024,3619820100001015,300
3619820100001024,3619820100001016,450
3619820100001024,3619820100001017,140
3619820100001024,3619820100001018,220
3619820100001024,3619820100001019,270
3619820100001024,3619820100001020,225
3619820100001024,3619820100001021,380
3619820100001024,3619820100001022,345
3619820100001024,3619820100001023,375
3619820100001024,3619820100001024,2065
3619820100001024,3619820100001025,665
3619820100001024,3619820100001026,290
3619820100001024,3619820100001027,140
3619820100001024,3619820100003001,140
3619820100001024,3619820100004001,230
3619820100001024,3619820100004002,110
3619820100001024,3619820100004004,115
3619820100001024,3619820100004034,105
3619820100001025,3419820000000007,115
3619820100001025,3419820000000022,155
3619820100001025,3619820100001001,2330
3619820100001025,3619820100001002,1310
3619820100001025,3619820100001003,405
3619820100001025,3619820100001004,205
3619820100001025,3619820100001005,235
3619820100001025,3619820100001006,830
3619820100001025,3619820100001007,560
3619820100001025,3619820100001008,2070
3619820100001025,3619820100001009,880
3619820100001025,3619820100001010,4660
3619820100001025,3619820100001011,1370
3619820100001025,3619820100001012,685
3619820100001025,3619820100001013,625
3619820100001025,3619820100001014,1010
3619820100001025,3619820100001015,560
3619820100001025,3619820100001016,445
3619820100001025,3619820100001017,225
3619820100001025,3619820100001018,330
3619820100001025,3619820100001019,460
3619820100001025,3619820100001020,510
3619820100001025,3619820100001021,475
3619820100001025,3619820100001023,195
3619820100001025,3619820100001024,380
3619820100001025,3619820100001025,6295
3619820100001025,3619820100001026,1095
3619820100001025,3619820100001027,845
3619820100001025,3619820100002011,170
3619820100001025,3619820100002028,130
3619820100001025,3619820100002036,105
3619820100001025,3619820100003001,370
3619820100001025,3619820100004001,395
3619820100001025,3619820100004002,205
3619820100001025,3619820100004004,250
3619820100001025,3619820100004006,315
3619820100001025,3619820100004007,160
3619820100001025,3619820100004010,160
3619820100001025,3619820100004011,140
3619820100001025,3619820100004016,120
3619820100001025,3619820100004020,105
3619820100001025,3619820100004023,115
3619820100001025,3619820100004028,265
3619820100001025,3619820100004036,140
3619820100001025,3619820100006002,115
3619820100001026,3419820000000002,115
3619820100001026,3619820100001001,1910
3619820100001026,3619820100001002,1360
3619820100001026,3619820100001003,235
3619820100001026,3619820100001004,170
3619820100001026,3619820100001005,155
3619820100001026,3619820100001006,840
3619820100001026,3619820100001007,520
3619820100001026,3619820100001008,1490
3619820100001026,3619820100001009,810
3619820100001026,3619820100001010,4325
3619820100001026,3619820100001011,920
3619820100001026,3619820100001012,575
3619820100001026,3619820100001013,755
3619820100001026,3619820100001014,615
3619820100001026,3619820100001015,700
3619820100001026,3619820100001016,220
3619820100001026,3619820100001017,130
3619820100001026,3619820100001018,315
3619820100001026,3619820100001019,310
3619820100001026,3619820100001020,280
3619820100001026,3619820100001021,575
3619820100001026,3619820100001022,125
3619820100001026,3619820100001023,175
3619820100001026,3619820100001024,200
3619820100001026,3619820100001025,1950
3619820100001026,3619820100001026,3915
3619820100001026,3619820100001027,590
3619820100001026,3619820100002007,130
3619820100001026,3619820100002011,200
3619820100001026,3619820100003001,150
3619820100001026,3619820100003007,105
3619820100001026,3619820100004001,225
3619820100001026,3619820100004004,190
3619820100001026,3619820100004006,125
3619820100001026,3619820100004007,120
3619820100001026,3619820100004022,110
3619820100001026,3619820100004024,270
3619820100001026,3619820100004026,205
3619820100001026,3619820100006002,175
3619820100001027,3419820000000068,150
3619820100001027,3619820100001001,980
3619820100001027,3619820100001002,785
3619820100001027,3619820100001003,175
3619820100001027,3619820100001004,130
3619820100001027,3619820100001005,165
3619820100001027,3619820100001006,625
3619820100001027,3619820100001007,235
3619820100001027,3619820100001008,1315
3619820100001027,3619820100001009,325
3619820100001027,3619820100001010,2385
3619820100001027,3619820100001011,725
3619820100001027,3619820100001012,335
3619820100001027,3619820100001013,645
3619820100001027,3619820100001014,485
3619820100001027,3619820100001015,425
