id,Zone,Area,BlockStart,BlockEnd,PayBoxAddress,Dir,StreetName,StreetSU,Address,LOC,LAT,LNG,ExistingRevenue,RevenueValue,FineLevel,NumberSpaces,Required,FullUtilizationAmount,2013_2014FullUtilization,UtilizationRate,Impacted
1105,1,716,1605,1687,1637,N,MILWAUKEE,AVE,"1637 N MILWAUKEE AVE, Chicago, IL","(41.91133019999999, -87.67846089999999)",41.91133019999999,-87.67846089999999,58799.1,58799.1,50,7,Non-CBD,61348,8764,0.9585,Impacted
1106,1,716,1618,1650,1638,N,MILWAUKEE,AVE,"1638 N MILWAUKEE AVE, Chicago, IL","(41.9112017, -87.67877060000001)",41.9112017,-87.67877060000001,43443.36,43443.36,50,9,Non-CBD,78876,8764,0.5508,Impacted
1107,1,716,1618,1650,1630,N,MILWAUKEE,AVE,"1630 N MILWAUKEE AVE, Chicago, IL","(41.9109379, -87.678619)",41.9109379,-87.678619,51250.13,51250.13,50,9,Non-CBD,78876,8764,0.6498,Impacted
1108,1,716,1658,1672,1666,N,MILWAUKEE,AVE,"1666 N MILWAUKEE AVE, Chicago, IL","(41.9118745, -87.67981329999999)",41.9118745,-87.67981329999999,28041.47,28041.47,50,6,Non-CBD,52584,8764,0.5333,Impacted
1109,1,716,1719,1759,1729,N,MILWAUKEE,AVE,"1729 N MILWAUKEE AVE, Chicago, IL","(41.9125792, -87.68086269999999)",41.9125792,-87.68086269999999,15473,15473,50,11,Non-CBD,96404,8764,0.1605,Impacted
1110,1,716,1719,1759,1737,N,MILWAUKEE,AVE,"1737 N MILWAUKEE AVE, Chicago, IL","(41.912673, -87.68101500000002)",41.912673,-87.68101500000002,5413.79,5413.79,50,12,Non-CBD,105168,8764,0.0515,Impacted
1111,1,716,1734,1752,1742,N,MILWAUKEE,AVE,"1742 N MILWAUKEE AVE, Chicago, IL","(41.913054, -87.68204)",41.913054,-87.68204,3973.77,3973.77,50,7,Non-CBD,61348,8764,0.0648,Impacted
1112,1,716,1807,1853,1817,N,MILWAUKEE,AVE,"1817 N MILWAUKEE AVE, Chicago, IL","(41.9141738, -87.68331080000002)",41.9141738,-87.68331080000002,6600.7,6600.7,50,10,Non-CBD,87640,8764,0.0753,Impacted
1113,1,716,1807,1853,1835,N,MILWAUKEE,AVE,"1835 N MILWAUKEE AVE, Chicago, IL","(41.9148127, -87.68402239999999)",41.9148127,-87.68402239999999,21730.8,21730.8,50,8,Non-CBD,70112,8764,0.3099,Impacted
1114,1,716,1812,1850,1832,N,MILWAUKEE,AVE,"1832 N MILWAUKEE AVE, Chicago, IL","(41.914579, -87.684426)",41.914579,-87.684426,17427.85,17427.85,50,8,Non-CBD,70112,8764,0.2486,Impacted
1115,1,716,1812,1850,1820,N,MILWAUKEE,AVE,"1820 N MILWAUKEE AVE, Chicago, IL","(41.914401, -87.68414899999999)",41.914401,-87.68414899999999,7023.14,7023.14,50,11,Non-CBD,96404,8764,0.0729,Impacted
1116,1,310,1961,1971,1965,N,MILWAUKEE,AVE,"1965 N MILWAUKEE AVE, Chicago, IL","(41.9173395, -87.6878702)",41.9173395,-87.6878702,14617.66,14617.66,50,4,Non-CBD,35056,8764,0.417,Impacted
